Time (ms),Recording (a.u.)
0,0.000125566
0.020834123,0.000452933
0.041668245,0.000648665
0.062502368,0.000756598
0.08333649,0.000806555
0.104170613,0.000644554
0.125004735,0.000639472
0.145838858,0.00063099
0.16667298,0.000485476
0.187507103,0.000410492
0.208341225,0.000413259
0.229175348,0.000432649
0.25000947,0.000316032
0.270843593,0.000252576
0.291677715,0.000162334
0.312511838,1.31936E-05
0.33334596,8.71494E-05
0.354180083,0.000213131
0.375014205,0.000286705
0.395848328,0.000303441
0.41668245,0.000315135
0.437516573,0.000303939
0.458350695,0.000210917
0.479184818,0.00024032
0.50001894,0.00029052
0.520853063,0.000218245
0.541687185,6.8933E-05
0.562521308,-0.000106209
0.58335543,-0.0002006
0.604189553,-0.000250044
0.625023675,-0.000247925
0.645857798,-0.000159006
0.66669192,-7.19264E-05
0.687526043,-0.000210814
0.708360165,-0.000449353
0.729194288,-0.000553821
0.75002841,-0.000720286
0.770862533,-0.00072752
0.791696655,-0.000712969
0.812530778,-0.000916286
0.8333649,-0.000825124
0.854199023,-0.000663453
0.875033145,-0.000711468
0.895867268,-0.000613823
0.91670139,-0.000467797
0.937535513,-0.000461355
0.958369635,-0.000316758
0.979203758,-0.00020822
1.00003788,-0.000406099
1.020872003,-0.000290272
1.041706125,0.000124916
1.062540248,0.000200018
1.08337437,8.04296E-05
1.104208493,6.38034E-05
1.125042615,-6.92256E-05
1.145876738,-0.000440861
1.16671086,-0.000656381
1.187544983,-0.000686209
1.208379105,-0.000601847
1.229213228,-0.000429412
1.25004735,-0.000407695
1.270881473,-0.000489053
1.291715595,-0.000742196
1.312549718,-0.00104517
1.33338384,-0.001196275
1.354217963,-0.00143602
1.375052085,-0.001411722
1.395886208,-0.001123599
1.41672033,-0.00119728
1.437554453,-0.001010002
1.458388575,-0.000875881
1.479222698,-0.001073674
1.50005682,-0.000905034
1.520890943,-0.000860824
1.541725065,-0.000710893
1.562559188,-0.000402155
1.58339331,-0.00050911
1.604227433,-0.000659808
1.625061555,-0.000626022
1.645895678,-0.000592566
1.6667298,-0.000552617
1.687563923,-0.000404043
1.708398045,-0.000316518
1.729232168,-0.000271982
1.75006629,-0.000245375
1.770900413,-0.000446736
1.791734535,-0.000617192
1.812568658,-0.000531549
1.83340278,-0.000392365
1.854236903,-0.000280516
1.875071025,-0.000171124
1.895905148,-0.000258275
1.91673927,-0.000522702
1.937573393,-0.000582175
1.958407515,-0.00063323
1.979241638,-0.000880595
2.00007576,-0.000825833
2.020909883,-0.000549649
2.041744005,-0.000411235
2.062578128,-0.00023852
2.08341225,-0.000162362
2.104246373,-0.000106871
2.125080495,5.20461E-05
2.145914618,-4.40379E-05
2.16674874,-0.0002281
2.187582863,-0.000385261
2.208416985,-0.000602277
2.229251108,-0.000699827
2.250085231,-0.000576731
2.270919353,-0.000443675
2.291753476,-0.00053138
2.312587598,-0.000547217
2.333421721,-0.000567177
2.354255843,-0.000805987
2.375089966,-0.00087713
2.395924088,-0.000804543
2.416758211,-0.000760541
2.437592333,-0.000664492
