F (N)	L (m)	E (Pa)	I (m^4)	δ (m)
3.092808827273e+02	4.739749764872e+00	2.169341373117e+10	2.728683173180e-03	1.159036380591e-05
3.942604743601e+02	3.987366344583e+00	3.159376830381e+10	2.109979665316e-03	7.811253290583e-06
2.991807216585e+02	4.520595047170e+00	4.938481013332e+10	4.804404620362e-03	2.426868352511e-06
4.463927909767e+02	4.019581226058e+00	4.878041985538e+10	4.374332797040e-03	2.830485976370e-06
3.175949316910e+02	4.354952859429e+00	4.611232884847e+10	2.708473240212e-03	4.375635078460e-06
2.222546736680e+02	3.093804798940e+00	2.664422813661e+10	4.923266469816e-03	1.045278229483e-06
4.605974675652e+02	3.358539329417e+00	4.501608130611e+10	2.811616125800e-03	2.872155251057e-06
2.169112224908e+02	4.975313542606e+00	3.673613772759e+10	4.538271426886e-03	3.338244855107e-06
2.228866269079e+02	3.840488453818e+00	2.292779008163e+10	2.925753691719e-03	3.921048437004e-06
4.118758991169e+02	4.341861749697e+00	2.285006995314e+10	3.159759079409e-03	9.727732303786e-06
3.885370930183e+02	3.517484260324e+00	2.334441761811e+10	4.775353371352e-03	3.160088017334e-06
3.024617832371e+02	4.596870604358e+00	4.653864220513e+10	2.684870892911e-03	4.898679127898e-06
2.202003541177e+02	2.437246792283e+00	3.171176946644e+10	3.851701678030e-03	5.437536430684e-07
4.225203247829e+02	4.978082007585e+00	3.152484008764e+10	4.232223266608e-03	8.138999939885e-06
4.141569716958e+02	3.972919626476e+00	4.495169755043e+10	4.358878488666e-03	2.761418418361e-06
3.003241184253e+02	2.090484471394e+00	3.355852770268e+10	3.354767009177e-03	5.077203241189e-07
4.428625485730e+02	2.365594757477e+00	2.350768463997e+10	3.766381805065e-03	1.379477323359e-06
2.685391775122e+02	2.359225215793e+00	2.062411157016e+10	2.182669729134e-03	1.631966901375e-06
2.132098673651e+02	4.406658726593e+00	4.686029122393e+10	2.278437719473e-03	3.560017815150e-06
4.040231021211e+02	3.788545390465e+00	4.248760886622e+10	2.421919780166e-03	4.447955171723e-06
2.396149551694e+02	4.892585048439e+00	4.024973666337e+10	3.899335391679e-03	3.725067951893e-06
4.440871659398e+02	2.562614781551e+00	3.524332704322e+10	2.259211458600e-03	1.955434096137e-06
4.358864448044e+02	2.894496175421e+00	3.064364861007e+10	4.532355771547e-03	1.585574307020e-06
4.468291090298e+02	3.128430545185e+00	3.562900133076e+10	3.369410767605e-03	2.374226589157e-06
3.669241556620e+02	4.552718156730e+00	3.061559833616e+10	4.605813011194e-03	5.115620378056e-06
2.220438768863e+02	2.727385720584e+00	2.573578217322e+10	4.682294478687e-03	7.788272804360e-07
4.157107696160e+02	3.590328518166e+00	3.293836439925e+10	2.220770268217e-03	5.479575814800e-06
4.751838508985e+02	4.255638113809e+00	3.570367482474e+10	4.384448473585e-03	4.874012243048e-06
3.077722643118e+02	4.704482646564e+00	2.687165249837e+10	3.770248435153e-03	6.589606964910e-06
4.564989646021e+02	4.630018360872e+00	4.030487523874e+10	2.427088493457e-03	9.649471033905e-06
4.682015034245e+02	2.409235324412e+00	2.647562274434e+10	4.444434685439e-03	1.159221749281e-06
3.810859654452e+02	2.119510905166e+00	2.746170642478e+10	2.185561735506e-03	1.259499748876e-06
2.905982080402e+02	4.325793284454e+00	2.754208102933e+10	2.665808918404e-03	6.674568777670e-06
4.277134781865e+02	3.101396919604e+00	2.865198205200e+10	2.795698875478e-03	3.318476068655e-06
4.690569455564e+02	4.277269110843e+00	3.085975065292e+10	4.086979648433e-03	6.063022393331e-06
3.286070444901e+02	2.622477797877e+00	4.093318761484e+10	4.588619046910e-03	6.573755130385e-07
4.790173749855e+02	4.116944132043e+00	3.167102524803e+10	4.300300502369e-03	5.112979157890e-06
3.297753326661e+02	2.395779386758e+00	2.824002428539e+10	4.187398553856e-03	7.989287263220e-07
4.173000180144e+02	4.760739874208e+00	4.387800539991e+10	4.887646144518e-03	4.374051474550e-06
2.160691026384e+02	4.915117387750e+00	2.253942512515e+10	2.238397816814e-03	1.059431803174e-05
3.590429578195e+02	4.518868924841e+00	2.150392175709e+10	2.948359654778e-03	1.088670055607e-05
2.673365497536e+02	4.097840772883e+00	4.694847591603e+10	3.676633764948e-03	2.220293919633e-06
2.631298872896e+02	2.668722961064e+00	2.524783540047e+10	2.853122553638e-03	1.446421410921e-06
2.637713381052e+02	2.013279322800e+00	4.608321647687e+10	4.976005494655e-03	1.955576588675e-07
3.276073570664e+02	2.186966256921e+00	2.868694912931e+10	2.872455491193e-03	8.663651701302e-07
4.416671255716e+02	3.317310187928e+00	3.613675063038e+10	2.722524601647e-03	3.414217415123e-06
3.240306559097e+02	2.237109245323e+00	3.503260994793e+10	4.472246805321e-03	4.824009831210e-07
2.667756622890e+02	2.854475042156e+00	2.828062337091e+10	3.646272809074e-03	1.253561319500e-06
4.493900149543e+02	2.720928010423e+00	4.682733173963e+10	3.937784593769e-03	1.022779390280e-06
3.323200242981e+02	3.690321150931e+00	3.747118496574e+10	4.207836459035e-03	2.206741595516e-06
4.252798290507e+02	2.461399933945e+00	4.924359890481e+10	2.578841270940e-03	1.040412841593e-06
2.158679080496e+02	3.322782988532e+00	4.228520428255e+10	2.488846848803e-03	1.567711609299e-06
4.732551692467e+02	3.137520307779e+00	2.763029737244e+10	4.351769357646e-03	2.532575122985e-06
2.467208963917e+02	3.262936789836e+00	4.034264627945e+10	3.388714378578e-03	1.306144815817e-06
4.136241273939e+02	4.571296802224e+00	2.982334102398e+10	3.659132719341e-03	7.543075061386e-06
4.028526353788e+02	3.924113768420e+00	2.125469814223e+10	4.771095857942e-03	5.000997736307e-06
3.633637071954e+02	2.542694366661e+00	3.712851298773e+10	4.659093175511e-03	7.194056449085e-07
3.824376406131e+02	3.233648177196e+00	2.671031457758e+10	2.365684084117e-03	4.263457536802e-06
2.974931564019e+02	2.176902132986e+00	3.343493770459e+10	4.214052900728e-03	4.537869009432e-07
4.539684209574e+02	4.658568317869e+00	3.679202773070e+10	3.501330999834e-03	7.422580556055e-06
4.595942329543e+02	2.963494892063e+00	2.727292195674e+10	4.413607109134e-03	2.070239267890e-06
3.486030510861e+02	4.877954239628e+00	2.048658736721e+10	4.740265440376e-03	8.680221956890e-06
2.921166568295e+02	4.481556777270e+00	3.420409048097e+10	2.197940189506e-03	7.286313885784e-06
4.995611050235e+02	3.267524056450e+00	3.300827516610e+10	2.543862750932e-03	4.324015619335e-06
2.305899207007e+02	4.324954268466e+00	3.558876093492e+10	2.092265342855e-03	5.219321056433e-06
2.200909158091e+02	4.706759535028e+00	3.701066748490e+10	3.252298850857e-03	3.972002837521e-06
2.719469258227e+02	4.935840048974e+00	2.854176305312e+10	3.536745875914e-03	6.749032145297e-06
4.518863404101e+02	4.456342520104e+00	2.128431811247e+10	2.826949019995e-03	1.384668938586e-05
4.331851378743e+02	3.391728583673e+00	3.165530008151e+10	2.714833933390e-03	4.097376583987e-06
4.940748338324e+02	3.963588420783e+00	3.644048621272e+10	3.521800087108e-03	4.994227089622e-06
4.293865754291e+02	2.427193000231e+00	4.233244852939e+10	4.867057432846e-03	6.208408685068e-07
2.957060070328e+02	4.881933556821e+00	3.890148704674e+10	2.769355222210e-03	6.653491921708e-06
2.993988085565e+02	3.758743593206e+00	3.556297237203e+10	3.841087631308e-03	2.424848808908e-06
4.295181953507e+02	3.667026466144e+00	4.300820010777e+10	3.077042991066e-03	3.334245934833e-06
2.313053377993e+02	2.877768337714e+00	3.632205370897e+10	4.965591172474e-03	6.367523421649e-07
4.131957640128e+02	2.941640441430e+00	2.482152732636e+10	2.019597060452e-03	4.371094088108e-06
2.610244308562e+02	2.252777287432e+00	4.284532819452e+10	4.051726213469e-03	3.581386001896e-07
2.252046337147e+02	3.203000742354e+00	2.214674391256e+10	2.465027789676e-03	2.824070272077e-06
3.315634430400e+02	3.116575698502e+00	3.579923331359e+10	3.954597274650e-03	1.477006663880e-06
4.196254295106e+02	3.819898577607e+00	3.609280775843e+10	3.551183487486e-03	3.801738813399e-06
3.270208630168e+02	2.257225593498e+00	4.835037593542e+10	4.674986529662e-03	3.466401799741e-07
3.121370489671e+02	2.966344693659e+00	2.495681885538e+10	2.787956561559e-03	2.439459986676e-06
2.796436155636e+02	3.432113794307e+00	4.751268498828e+10	3.723082405108e-03	1.331485634561e-06
2.365458474163e+02	2.616578148681e+00	4.211171536523e+10	4.618270438568e-03	4.539342253889e-07
2.520367345323e+02	2.004456716221e+00	2.592256943572e+10	4.125694510554e-03	3.954007975312e-07
4.167346761848e+02	4.265297370617e+00	4.356193440685e+10	3.302640364183e-03	4.682716931235e-06
4.288170995951e+02	2.018660295791e+00	2.913274016248e+10	4.403789991485e-03	5.728127097252e-07
2.835785677858e+02	3.952261283360e+00	3.481219402722e+10	3.796763563306e-03	2.759460380192e-06
3.794034033262e+02	4.635728067619e+00	2.659128410186e+10	2.001281761939e-03	1.479674856467e-05
3.969206337851e+02	4.911318897882e+00	4.136804093193e+10	3.296001305003e-03	7.184631734768e-06
4.247860996623e+02	3.105858742574e+00	3.429024520399e+10	4.329692080264e-03	1.785856491104e-06
4.045103130732e+02	4.756384700199e+00	2.115554585713e+10	2.761631295458e-03	1.552134493253e-05
4.772235083598e+02	2.193211730824e+00	3.941946622803e+10	4.195318849513e-03	6.342296766970e-07
3.558144713444e+02	3.296094785723e+00	2.132191613017e+10	3.505117161461e-03	3.551834134225e-06
4.374587201820e+02	2.040995084497e+00	4.038204914650e+10	4.397653516917e-03	4.363272680859e-07
3.334731202516e+02	3.559794474400e+00	2.337735800980e+10	4.857799879189e-03	2.759683786195e-06
2.877787737024e+02	3.662953024978e+00	4.624871609849e+10	4.847005385353e-03	1.314432790133e-06
4.617328469913e+02	3.833995514178e+00	2.109015565258e+10	3.736044613896e-03	6.880381126563e-06
2.767681175936e+02	3.368659303844e+00	4.064236028595e+10	2.062856371852e-03	2.629045970497e-06
4.354826548338e+02	2.378203990676e+00	4.019274777396e+10	4.953373293726e-03	6.129544171278e-07
3.555660218121e+02	2.165703509275e+00	2.021588351498e+10	4.010605688766e-03	9.280541650121e-07
4.122576008344e+02	4.605432358819e+00	2.194464841758e+10	4.235159224902e-03	9.026934443022e-06
3.364611607075e+02	4.174321218634e+00	2.841788230575e+10	3.718129357386e-03	4.825419682068e-06
3.895234197186e+02	4.944344948244e+00	2.863720326381e+10	4.286680046492e-03	7.990371140610e-06
4.280513312288e+02	3.631981073388e+00	4.448177819099e+10	3.447578870517e-03	2.786050564643e-06
4.083287785024e+02	4.656595492293e+00	3.638997025886e+10	4.639260442234e-03	5.087961750774e-06
2.354993862081e+02	2.319717788486e+00	3.618637883147e+10	4.895359403224e-03	3.457198319837e-07
3.575187840807e+02	4.244663992553e+00	4.743483585297e+10	3.999462827620e-03	3.002537997393e-06
2.656497438374e+02	4.752171217746e+00	2.157700711869e+10	3.285555404676e-03	8.378078069408e-06
3.651629297858e+02	4.670327271573e+00	3.704793946075e+10	4.008535438450e-03	5.218402862481e-06
2.900668424550e+02	4.853010120388e+00	2.910661100723e+10	2.803160383413e-03	8.465465662253e-06
2.320492666105e+02	4.923633941726e+00	3.999699215551e+10	2.485550009737e-03	5.804253808002e-06
4.719698331378e+02	3.497754950920e+00	3.903867774649e+10	2.408517025665e-03	4.475033833384e-06
4.862743082414e+02	2.060431612736e+00	2.191427019669e+10	2.168033991586e-03	1.865183658800e-06
4.831202768353e+02	2.910411610173e+00	2.262757925744e+10	2.859095078577e-03	3.835399240923e-06
4.881360123753e+02	3.905633930374e+00	3.176706184178e+10	3.325775253118e-03	5.734615059799e-06
3.566778598906e+02	3.186771053227e+00	3.372026307232e+10	2.254993280605e-03	3.162651214441e-06
4.878902749137e+02	3.164132002608e+00	2.248139422408e+10	4.715309346696e-03	3.037464933417e-06
4.177593898315e+02	4.717092921581e+00	4.373206873793e+10	3.167267026641e-03	6.595133265288e-06
2.459265804427e+02	3.243449086445e+00	2.683130412545e+10	4.642794952153e-03	1.403344197684e-06
3.881828492154e+02	3.999459308943e+00	4.900697793427e+10	4.798861029924e-03	2.199899587132e-06
2.747927845226e+02	4.574833089328e+00	2.278611182385e+10	4.995461348480e-03	4.815529204749e-06
4.080557413467e+02	3.780842731409e+00	4.463944967694e+10	3.270965511815e-03	3.146656212113e-06
3.066001417498e+02	2.153692996288e+00	2.721608184902e+10	4.749097567544e-03	4.936803107875e-07
3.998817092287e+02	4.074550734583e+00	2.514701753334e+10	4.344005591010e-03	5.158846808380e-06
4.775747862784e+02	4.720089907567e+00	2.995586981439e+10	4.946443993035e-03	7.061158097034e-06
2.555926488361e+02	2.296242025814e+00	3.175804103851e+10	3.616017282405e-03	5.614045159564e-07
4.662651850599e+02	2.914317403050e+00	4.280338384980e+10	3.691288689268e-03	1.521760072305e-06
3.835445455895e+02	4.296284934747e+00	4.163197166720e+10	4.314367479685e-03	3.527846581291e-06
3.473042982735e+02	3.723541897998e+00	4.054585085483e+10	4.572244733574e-03	2.014938378186e-06
3.459988979011e+02	3.484800151431e+00	2.848634043390e+10	4.760406211409e-03	2.249502269135e-06
4.345172040681e+02	2.349687604343e+00	3.495941934853e+10	2.097524610610e-03	1.601492246853e-06
2.509496401174e+02	3.933142573511e+00	2.504749569999e+10	2.944226990564e-03	4.313490124402e-06
4.314829761824e+02	2.838485361847e+00	2.311045686833e+10	4.139669639973e-03	2.148860335523e-06
2.745871349967e+02	4.810806115447e+00	3.067729491440e+10	2.630095417014e-03	7.894124028719e-06
3.101772504047e+02	4.850411709420e+00	3.470210603501e+10	3.227393631979e-03	6.584104954936e-06
3.654005523860e+02	4.921604941879e+00	2.605696877832e+10	4.357097107035e-03	7.993317798114e-06
2.063081190501e+02	2.654483225438e+00	2.945534810615e+10	4.296754623595e-03	6.351997598945e-07
2.079287327620e+02	3.717329874352e+00	2.183565288695e+10	2.951645340908e-03	3.452520136407e-06
3.490566762888e+02	2.263236697134e+00	4.733057347582e+10	2.082704673090e-03	8.552147500772e-07
4.906964461234e+02	3.939123785994e+00	3.340400210754e+10	4.993654143092e-03	3.745877740157e-06
4.213559849011e+02	3.059509899158e+00	3.490829516277e+10	4.223680989898e-03	1.705076109371e-06
2.218531014666e+02	4.329129129789e+00	4.955547868065e+10	3.439937202855e-03	2.199802532285e-06
3.046752240502e+02	3.259929819925e+00	4.679622001435e+10	2.255272545037e-03	2.083583197716e-06
2.278275790509e+02	2.242230912199e+00	2.054258402489e+10	4.133008153274e-03	6.302091881272e-07
2.191092706332e+02	4.082450315747e+00	2.532857139500e+10	3.332741421636e-03	3.679340030596e-06
4.750101836224e+02	4.678056142310e+00	3.499762132543e+10	3.068789439190e-03	9.433054705418e-06
2.327677841299e+02	3.997385450837e+00	3.630954045975e+10	2.711846852046e-03	3.145747101464e-06
4.553406834884e+02	3.051973313147e+00	3.881086844233e+10	3.512008304359e-03	1.978465666790e-06
4.405711513773e+02	3.299175123517e+00	3.688874055179e+10	3.153048662562e-03	2.833781914198e-06
2.009488456536e+02	3.245084302326e+00	3.753193518429e+10	4.791623272927e-03	7.954971093573e-07
2.294596907667e+02	3.469707685107e+00	2.928751889299e+10	3.636800294302e-03	1.874743236040e-06
2.894398889534e+02	3.122057659067e+00	3.114578579066e+10	4.707113505589e-03	1.251658752894e-06
4.800573626122e+02	4.530202370034e+00	3.912847622075e+10	2.527680361962e-03	9.401336908561e-06
2.975719388705e+02	4.949676087121e+00	3.953226878370e+10	2.557423764294e-03	7.435781826865e-06
2.708001319123e+02	2.180830142088e+00	4.411553018182e+10	3.894627798928e-03	3.405772975419e-07
2.614758651862e+02	3.009096317821e+00	4.547823216420e+10	4.239311326167e-03	7.698387245170e-07
4.786850621402e+02	2.043116280028e+00	4.487270457135e+10	4.971498098452e-03	3.812574747700e-07
4.193952992483e+02	3.612079991338e+00	4.331902828214e+10	2.748855453087e-03	3.457990452435e-06
4.322178926123e+02	4.070768734589e+00	4.947694566732e+10	4.278002993721e-03	2.869768267480e-06
3.401479504545e+02	4.960153969136e+00	2.087937008451e+10	3.409042606481e-03	1.214960819817e-05
2.969037042090e+02	4.689161947159e+00	2.452281509776e+10	2.657360021768e-03	9.786769367470e-06
3.511920889425e+02	4.841831271220e+00	2.043265025932e+10	2.971871677817e-03	1.367658552049e-05
2.711457088542e+02	3.810412444841e+00	4.918464671597e+10	4.629181514404e-03	1.372599045614e-06
2.771257047248e+02	3.671226975240e+00	4.206900482442e+10	2.482868694409e-03	2.734974549201e-06
2.862731474822e+02	2.389476825429e+00	4.191619470664e+10	3.949295511353e-03	4.915258505805e-07
2.090678888823e+02	4.154789030578e+00	4.229711509911e+10	3.826867973595e-03	1.929917743622e-06
4.253555843671e+02	2.463091984844e+00	2.915378013210e+10	4.914549462034e-03	9.242175476498e-07
4.628484185684e+02	3.636777136722e+00	3.574570434925e+10	4.018436235851e-03	3.228989782468e-06
4.096772078365e+02	3.697672299137e+00	4.242897371212e+10	2.312839975139e-03	4.397215122128e-06
2.402062011459e+02	3.072532853812e+00	2.774691194916e+10	2.774783670226e-03	1.885336162244e-06
2.608437901375e+02	3.960855480928e+00	2.249221905181e+10	3.266783946596e-03	4.595719751749e-06
4.369054011943e+02	4.477224719574e+00	4.179165343196e+10	4.073418051003e-03	4.798707929374e-06
4.107854689984e+02	2.052693898737e+00	4.016248694814e+10	4.974924277478e-03	3.704583067361e-07
3.950296583529e+02	4.392574604277e+00	2.327227963781e+10	4.323928939410e-03	6.931519193311e-06
2.813715090274e+02	4.212659907230e+00	4.872713936104e+10	3.898385318933e-03	2.307025537979e-06
3.808321468464e+02	4.281285910715e+00	2.362388324461e+10	2.670606554476e-03	9.868561692133e-06
3.155254820872e+02	2.601373364607e+00	2.093824822540e+10	2.993903511900e-03	1.845963567359e-06
3.400971683973e+02	2.956478327623e+00	4.266781400758e+10	2.809551035888e-03	1.527385133494e-06
2.209984781658e+02	4.643993215260e+00	2.390005284034e+10	2.006085162440e-03	9.617773574511e-06
2.482706344443e+02	3.927895499043e+00	2.632565774653e+10	2.890546331231e-03	4.119122670842e-06
2.931332491008e+02	3.655494004116e+00	2.500836122908e+10	4.461764480273e-03	2.673438490592e-06
4.060346913813e+02	4.987843492037e+00	3.432486557064e+10	3.476205120579e-03	8.797233452139e-06
2.525249565344e+02	2.469061195403e+00	4.275555890949e+10	4.597010490776e-03	4.028937653026e-07
4.227776128330e+02	4.557062434056e+00	4.592822661332e+10	4.191198175287e-03	4.330198525684e-06
2.689102722804e+02	3.255394032542e+00	2.740444948418e+10	2.142659482522e-03	3.291566281660e-06
2.178096443240e+02	3.762877323706e+00	2.302571179225e+10	3.384910192766e-03	3.101957425739e-06
3.972734531652e+02	2.316740549577e+00	4.130633436119e+10	3.891035404551e-03	6.403223630738e-07
2.445302629275e+02	4.486010732303e+00	2.053044876309e+10	3.979184626680e-03	5.629628928279e-06
2.530694173997e+02	3.570546085183e+00	2.492403573920e+10	2.301789717896e-03	4.183293594264e-06
3.230917404162e+02	2.501168067753e+00	3.122518762743e+10	3.260402275507e-03	1.034515496281e-06
3.599539134406e+02	2.260939201539e+00	2.303982195306e+10	3.784490363951e-03	9.939986435752e-07
4.180131999259e+02	2.593859541272e+00	3.462110530863e+10	2.251164912804e-03	1.950023674288e-06
3.052535069784e+02	3.215491093499e+00	2.962270153941e+10	3.969015961984e-03	1.798265653046e-06
3.129809675280e+02	2.516424611535e+00	2.989982156277e+10	2.173484892955e-03	1.598833506769e-06
2.822302296109e+02	4.303513843485e+00	2.180133574995e+10	2.228161148077e-03	9.647220481135e-06
3.997800037347e+02	4.432815199712e+00	2.195094887928e+10	3.389065754671e-03	9.751814147967e-06
4.134680388881e+02	3.937667792564e+00	3.047368133398e+10	2.982385110680e-03	5.786677548343e-06
2.410803638022e+02	3.142084247597e+00	3.415648799578e+10	2.037916277224e-03	2.238280593584e-06
3.926124122708e+02	4.123977629379e+00	4.881837522184e+10	3.626847544544e-03	3.240104886268e-06
3.642364866427e+02	3.310702711985e+00	2.950815675407e+10	4.370695627467e-03	2.135060171830e-06
2.068921318389e+02	3.269085142745e+00	3.491464970761e+10	3.316622700541e-03	1.300402137535e-06
4.737218773370e+02	3.828140105383e+00	3.187335194598e+10	2.450068563887e-03	7.089893315225e-06
2.247461175221e+02	4.318316815177e+00	2.897238477213e+10	3.586123531152e-03	3.628983343738e-06
4.832685767752e+02	2.157607128892e+00	3.054018543036e+10	4.254804084408e-03	7.782393531173e-07
3.233023288169e+02	3.735165914094e+00	3.868959666726e+10	4.870702660047e-03	1.862565130767e-06
