E (Pa)	I (m^4)	ρ (kg/m^3)	A (m^2)	L (m)	f (Hz)
1.094552043820e+10	8.234336481531e-05	4.068365100511e+03	5.845359088744e-03	2.486275606579e+00	1.762142771808e+01
2.872820730288e+10	1.160517536656e-05	5.751043258753e+03	9.625214544104e-03	3.258753327906e+00	4.089039357066e+00
3.701761747201e+10	2.726671130525e-05	2.613145498152e+03	9.493704159661e-03	3.734356610141e+00	8.093047099363e+00
4.294880785522e+10	9.319309683365e-05	5.289045246056e+03	2.124781483792e-03	3.607658732482e+00	2.565626480866e+01
3.044885355125e+10	3.425533695884e-05	4.873064216218e+03	4.192421286618e-03	2.475907977659e+00	2.062385022698e+01
4.035774557682e+10	9.005571104314e-05	3.766030105325e+03	3.325080908062e-03	4.093266498299e+00	1.799114112929e+01
1.404372417001e+10	1.112971846707e-05	7.099329309009e+03	1.819073720858e-03	3.936803346965e+00	3.971775177664e+00
2.409181093172e+10	6.880241557109e-05	5.467294350785e+03	7.252234276400e-03	4.359752776473e+00	6.018847994359e+00
4.663540180014e+10	9.711087257519e-05	3.463669720584e+03	3.417919400357e-03	4.082298785585e+00	2.076613843013e+01
2.884136518171e+10	3.214576009672e-05	3.783237689575e+03	5.033987545213e-03	4.656736172753e+00	5.693001295247e+00
2.486184493276e+10	1.915699592145e-05	7.712556199767e+03	3.365280373615e-03	3.368200172736e+00	6.681092291542e+00
3.692822237542e+10	2.326144447256e-05	5.125842432794e+03	9.300895103356e-03	2.065274626885e+00	1.760838797368e+01
4.208828491261e+10	4.983351333619e-05	7.964401927409e+03	2.873305503379e-03	4.239451422897e+00	9.424910397171e+00
3.775281526726e+10	7.390258766448e-05	7.534567032792e+03	7.858288409395e-03	2.184873060899e+00	2.544377916582e+01
4.182173188983e+10	6.985953307062e-05	2.003012575200e+03	8.479835722600e-03	3.839977737472e+00	1.573778295063e+01
2.632509733407e+10	4.001129165542e-05	4.314934358421e+03	4.600328857317e-03	4.889550566481e+00	5.391126652400e+00
4.957908532380e+10	8.038299760694e-05	3.296430763023e+03	1.787823509624e-03	2.892740184449e+00	5.498584092787e+01
4.593882054058e+10	8.923592877116e-05	7.981529780066e+03	5.386448831638e-03	2.241678199496e+00	3.438282803166e+01
1.289151228502e+10	1.987637602936e-05	2.142268869116e+03	3.971161936219e-03	4.335959497586e+00	5.165079266027e+00
4.307303257420e+10	1.105601655561e-05	2.954308163518e+03	4.828046731184e-03	4.859289507358e+00	4.329777331401e+00
2.407742022031e+10	6.316039556182e-05	2.728073168810e+03	2.532075897699e-03	2.780740071141e+00	3.395180871981e+01
1.674365820286e+10	6.166993078751e-05	7.540356603940e+03	3.073449540250e-03	2.053589312973e+00	2.800582713409e+01
